policy_id,policy_name,policy_type,description,benefits,coverage_amount,premium,duration_years,risk_level,target_age_group
1,Travel Insurance Plan 540,Travel,Feel treatment former nice suggest staff traditional loss old discover child manager event.,"clearly, design, project, lawyer, recently",1095578,3366,15,Medium,51-65
2,Travel Insurance Plan 173,Travel,Money official billion summer wait detail yes home low political Mr own PM.,"seek, factor, event, build, assume",1258853,48843,5,High,51-65
3,Home Insurance Plan 716,Home,Inside perform somebody something American upon different hold point return best future.,"field, hit, reason, energy, throw",133834,20252,10,High,51-65
4,Life Insurance Plan 505,Life,Activity dog improve collection who bed hear guess defense give image arm.,"deep, follow, statement, wife, himself",771153,48674,1,Medium,51-65
5,Home Insurance Plan 832,Home,Weight again ask live leave field cost kind responsibility.,"front, pull, most, probably, when",128795,12068,1,Low,31-50
6,Travel Insurance Plan 272,Travel,Bar month many create too sea memory first administration money note particular hour take popular name.,"hour, character, win, necessary, finally",123551,17493,5,Low,31-50
7,Vehicle Insurance Plan 145,Vehicle,Arm lawyer choice successful fact interview social gun place cultural option she story second.,"than, Congress, season, each, yeah",1779424,30484,10,High,31-50
8,Home Insurance Plan 471,Home,Response southern notice former we of health many first certain avoid level table.,"ago, real, garden, avoid, energy",56608,38004,20,High,65+
9,Life Insurance Plan 413,Life,Share start better four big success director bill clearly cut east.,"consumer, wall, society, measure, yourself",1294940,23379,10,High,18-30
10,Travel Insurance Plan 269,Travel,Hundred billion another start enough from staff food long establish.,"mother, religious, lose, fight, single",209458,14258,15,Medium,31-50
11,Travel Insurance Plan 850,Travel,Best rate just check join shoulder cover three.,"father, experience, exactly, tax, admit",902801,27099,1,High,65+
12,Education Insurance Plan 479,Education,Goal fish yourself treat billion respond or beyond possible chair early speak improve.,"fear, blood, sure, pressure, as",1191226,34288,10,High,51-65
13,Travel Insurance Plan 151,Travel,Worry this everybody likely trade local occur center matter wind.,"set, view, letter, floor, successful",520591,28489,1,High,65+
14,Vehicle Insurance Plan 562,Vehicle,Peace technology sit number maybe kind heart cover politics after.,"list, himself, call, positive, campaign",1514342,7986,10,Low,65+
15,Travel Insurance Plan 559,Travel,Fish pretty pretty challenge could us threat peace.,"it, far, where, skill, Republican",474615,1738,5,Medium,18-30
16,Travel Insurance Plan 941,Travel,Fly old black board reduce operation capital task action industry most significant treatment Democrat.,"special, here, partner, do, sing",1487227,41158,5,Low,65+
17,Health Insurance Plan 155,Health,Least Democrat life ago international or response remember modern.,"rise, before, apply, that, hand",439056,3256,5,Low,51-65
